"date","energy_label","main_refinancing_rate"
2023-05-25,"B",3.75
2023-05-25,"C",3.75
2023-05-25,"≥A",3.75
2023-05-25,"D",3.75
2023-05-25,"D",3.75
2023-05-25,"B",3.75
2023-05-25,"≥A",3.75
2023-05-25,"C",3.75
2023-05-25,"≥A",3.75
2023-05-25,"B",3.75
2023-05-25,"B",3.75
2023-05-25,"C",3.75
2023-05-25,"≥A",3.75
2023-05-25,"C",3.75
2023-05-25,"B",3.75
2023-05-25,"D",3.75
2023-05-25,"B",3.75
2023-05-25,"B",3.75
2023-05-25,"C",3.75
2023-05-25,"B",3.75
2023-05-25,"B",3.75
2023-05-25,"C",3.75
2023-05-25,"B",3.75
2023-05-25,"C",3.75
2023-05-25,"≥A",3.75
2023-05-25,"B",3.75
2023-05-25,"≥A",3.75
2023-05-25,"D",3.75
2023-05-25,"≥A",3.75
2023-05-25,"C",3.75
2023-05-25,"D",3.75
2023-05-25,"≥A",3.75
2023-05-25,"C",3.75
2023-05-25,"≥A",3.75
2023-05-25,"B",3.75
2023-05-25,"C",3.75
2023-05-26,"≥A",3.75
2023-05-26,"≥A",3.75
2023-05-26,"F",3.75
2023-05-26,"≥A",3.75
2023-05-26,"E",3.75
2023-05-26,"C",3.75
2023-05-26,"≥A",3.75
2023-05-26,"C",3.75
2023-05-26,"≥A",3.75
2023-05-26,"C",3.75
2023-05-26,"F",3.75
2023-05-26,"C",3.75
2023-05-26,"≥A",3.75
2023-05-26,"B",3.75
2023-05-26,"C",3.75
2023-05-26,"C",3.75
2023-05-26,"C",3.75
2023-05-26,"C",3.75
2023-05-26,"B",3.75
2023-05-26,"≥A",3.75
2023-05-26,"B",3.75
2023-05-26,"D",3.75
2023-05-26,"≥A",3.75
2023-05-26,"B",3.75
2023-05-26,"≥A",3.75
2023-05-26,"C",3.75
2023-05-26,"C",3.75
2023-05-26,"E",3.75
2023-05-26,"C",3.75
2023-05-26,"D",3.75
2023-05-26,"E",3.75
2023-05-26,"E",3.75
2023-05-26,"≥A",3.75
2023-05-26,"C",3.75
2023-05-26,"≥A",3.75
2023-05-26,"≥A",3.75
2023-05-26,"B",3.75
2023-05-26,"B",3.75
2023-05-26,"B",3.75
2023-05-26,"≥A",3.75
2023-05-26,"E",3.75
2023-05-26,"≥A",3.75
2023-05-26,"C",3.75
2023-05-26,"B",3.75
2023-05-26,"E",3.75
2023-05-26,"≥A",3.75
2023-05-26,"D",3.75
2023-05-26,"≥A",3.75
2023-05-26,"D",3.75
2023-05-26,"B",3.75
2023-05-26,"≥A",3.75
2023-05-26,"≥A",3.75
2023-05-26,"≥A",3.75
2023-05-26,"≥A",3.75
2023-05-26,"E",3.75
2023-05-26,"B",3.75
2023-05-26,"≥A",3.75
2023-05-26,"C",3.75
2023-05-26,"≥A",3.75
2023-05-26,"≥A",3.75
2023-05-26,"C",3.75
2023-05-26,"E",3.75
2023-05-26,"B",3.75
2023-05-26,"≥A",3.75
2023-05-26,"≥A",3.75
2023-05-26,"C",3.75
2023-05-26,"≥A",3.75
2023-05-26,"≥A",3.75
2023-05-26,"≥A",3.75
2023-05-26,"C",3.75
2023-05-26,"C",3.75
2023-05-26,"E",3.75
2023-05-26,"B",3.75
2023-05-26,"C",3.75
2023-05-26,"≥A",3.75
2023-05-26,"≥A",3.75
2023-05-26,"C",3.75
2023-05-26,"B",3.75
2023-05-26,"C",3.75
2023-05-26,"C",3.75
2023-05-27,"≥A",3.75
2023-05-27,"E",3.75
2023-05-27,"≥A",3.75
2023-05-27,"C",3.75
2023-05-27,"B",3.75
2023-05-27,"≥A",3.75
2023-05-27,"≥A",3.75
2023-05-27,"F",3.75
2023-05-27,"≥A",3.75
2023-05-27,"≥A",3.75
2023-05-27,"D",3.75
2023-05-27,"B",3.75
2023-05-27,"C",3.75
2023-05-27,"E",3.75
2023-05-27,"E",3.75
2023-05-27,"≥A",3.75
2023-05-27,"F",3.75
2023-05-27,"D",3.75
2023-05-27,"C",3.75
2023-05-28,"≥A",3.75
2023-05-28,"B",3.75
2023-05-28,"≥A",3.75
2023-05-28,"E",3.75
2023-05-28,"≥A",3.75
2023-05-28,"≥A",3.75
2023-05-28,"E",3.75
2023-05-28,"B",3.75
2023-05-28,"C",3.75
2023-05-29,"C",3.75
2023-05-29,"D",3.75
2023-05-29,"≥A",3.75
2023-05-29,"D",3.75
2023-05-29,"B",3.75
2023-05-29,"≥A",3.75
2023-05-29,"E",3.75
2023-05-29,"≥A",3.75
2023-05-29,"B",3.75
2023-05-29,"B",3.75
2023-05-29,"≥A",3.75
2023-05-29,"≥A",3.75
2023-05-29,"D",3.75
2023-05-29,"≥A",3.75
2023-05-30,"D",3.75
2023-05-30,"≥A",3.75
2023-05-30,"≥A",3.75
2023-05-30,"≥A",3.75
2023-05-30,"C",3.75
2023-05-30,"F",3.75
2023-05-30,"B",3.75
2023-05-30,"≥A",3.75
2023-05-30,"C",3.75
2023-05-30,"≥A",3.75
2023-05-30,"C",3.75
2023-05-30,"B",3.75
2023-05-30,"≥A",3.75
2023-05-30,"C",3.75
2023-05-30,"B",3.75
2023-05-30,"F",3.75
2023-05-30,"G",3.75
2023-05-30,"≥A",3.75
2023-05-30,"≥A",3.75
2023-05-30,"≥A",3.75
2023-05-30,"E",3.75
2023-05-30,"≥A",3.75
2023-05-30,"B",3.75
2023-05-30,"D",3.75
2023-05-30,"C",3.75
2023-05-30,"≥A",3.75
2023-05-30,"C",3.75
2023-05-30,"C",3.75
2023-05-30,"G",3.75
2023-05-30,"≥A",3.75
2023-05-30,"C",3.75
2023-05-30,"B",3.75
2023-05-30,"C",3.75
2023-05-30,"C",3.75
2023-05-30,"≥A",3.75
2023-05-30,"≥A",3.75
2023-05-30,"D",3.75
2023-05-30,"E",3.75
2023-05-30,"C",3.75
2023-05-30,"≥A",3.75
2023-05-30,"F",3.75
2023-05-30,"B",3.75
2023-05-30,"≥A",3.75
2023-05-30,"C",3.75
2023-05-30,"F",3.75
2023-05-30,"B",3.75
2023-05-30,"≥A",3.75
2023-05-30,"≥A",3.75
2023-05-30,"C",3.75
2023-05-30,"C",3.75
2023-05-30,"D",3.75
2023-05-30,"D",3.75
2023-05-30,"≥A",3.75
2023-05-30,"≥A",3.75
2023-05-30,"≥A",3.75
2023-05-30,"≥A",3.75
2023-05-30,"E",3.75
2023-05-30,"C",3.75
2023-05-30,"≥A",3.75
2023-05-30,"≥A",3.75
2023-05-30,"B",3.75
2023-05-30,"D",3.75
2023-05-30,"C",3.75
2023-05-30,"D",3.75
2023-05-30,"B",3.75
2023-05-30,"≥A",3.75
2023-05-30,"C",3.75
2023-05-30,"≥A",3.75
2023-05-30,"B",3.75
2023-05-30,"D",3.75
2023-05-30,"≥A",3.75
2023-05-30,"B",3.75
2023-05-30,"C",3.75
2023-05-30,"B",3.75
2023-05-30,"C",3.75
2023-05-30,"≥A",3.75
2023-05-30,"B",3.75
2023-05-30,"C",3.75
2023-05-30,"D",3.75
2023-05-30,"E",3.75
2023-05-30,"D",3.75
2023-05-30,"≥A",3.75
2023-05-30,"D",3.75
2023-05-30,"≥A",3.75
2023-05-31,"≥A",3.75
2023-05-31,"≥A",3.75
2023-05-31,"C",3.75
2023-05-31,"C",3.75
2023-05-31,"C",3.75
